location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
American Samoa,ASM,15236.1604875571,0.0644932919633268,0.0393673893993737,0.003531852660386,0.0034484884459473,0.0401417114829189,0.030680463682746,5.571611505960772,19.08245579646725
Antigua and Barbuda,ATG,17340.3790692554,0.0868641240849053,0.0492424765643001,0.0133752876333537,0.0117135567767454,0.0577912502716579,0.0300211532122854,0.2515594578181232,2.028624809264988
Argentine Republic,ARG,10738.0179223384,0.1110991177614021,0.0572524647982877,0.0116347075873781,0.0092421159939472,0.0555801126935562,0.0362869950692957,4.953539508439769,21.25544205732086
Australia,AUS,60607.7788605166,0.109349936018337,0.0684486128295615,0.0161821946052972,0.01536955460412,0.0870649512134105,0.0598408785876515,7.524478085998874,25.59808384881059
Barbados,BRB,18696.7858952957,0.0897749314799474,0.0511272668384572,0.0132367330909197,0.0116172539352285,0.0607301161663021,0.0356153461664511,1.165734843239891,6.877231153216021
Belize,BLZ,6122.61158580079,0.0832546962215513,0.0478730497977382,0.0131002309315323,0.0115200388250765,0.0570404080348064,0.0369636678641986,1.612453116833896,11.198743325807914
Bermuda,BMU,112712.025120653,0.0881037533928604,0.0503340208537034,0.0136420943720983,0.0118958063438468,0.060724807666546,0.0358192723010441,0.8573934439211859,4.807645091832745
Bosnia and Herzegovina,BIH,7295.3438240957,0.0730568486315849,0.0405182061468901,0.0073287308195262,0.0066646309558728,0.0564637367767617,0.0308589867963801,2.5957374543515432,13.939782925517298
Brunei Darussalam,BRN,31006.9636220576,0.0553021358190937,0.0315867091901521,0.0081707368716964,0.0067762996001109,0.0320807903941646,0.0208786827382963,1.6905958072292862,7.243557778501455
Burkina Faso,BFA,895.535288442991,0.0455191806884357,0.0361138243460471,0.0063779670097202,0.0062030315314133,0.0581417343213548,0.0415380229107932,3.1060930299591285,11.008238508052113
Canada,CAN,52496.8441693242,0.0903201625229417,0.0539794574218177,0.011651358763137,0.0115390770515724,0.0796446786462692,0.0475354541028319,7.390850022596589,24.970020933371785
Central African Republic,CAF,492.263142830507,0.0610654455898472,0.0459929714759132,0.0068344001239805,0.0065886196403283,0.094085177913769,0.0717178647440765,5.197423189903055,21.867346489330888
Commonwealth of Dominica,DMA,8262.65091316727,0.0879100472670535,0.0499823219698069,0.0131189593169723,0.0115951820861507,0.0575584064344331,0.0340521444641842,0.8873052313401376,6.7224649068268025
Commonwealth of the Bahamas,BHS,28682.3270000732,0.0893913468908926,0.051022107849295,0.0129739972442385,0.0114996374619557,0.0588466395786087,0.0312082663114905,0.7336118865797993,5.571336019309403
Czech Republic,CZE,27696.4619527544,0.0664213329985462,0.0365591470058604,0.0074332301083278,0.0067353105464119,0.056518371788819,0.0344362535006159,3.6264599484097735,17.92409683868471
Democratic Republic of Sao Tome and Principe,STP,2362.58827248102,0.0460983626817818,0.0370654531899538,0.0065181220874648,0.0064016547524844,0.0588798979546451,0.035416129603419,0.5335909695785739,2.159486733198322
Democratic Republic of Timor-Leste,TLS,2684.82704373402,0.0657409620184506,0.0375954127379883,0.0039798898376543,0.0038152276578504,0.0420489254498938,0.0333682485122744,3.6351727641527374,8.366615003421753
Democratic Socialist Republic of Sri Lanka,LKA,3999.33764677637,0.0721769068690185,0.0408127091727163,0.0043454519185119,0.0041578506526968,0.0493971791579422,0.0412352021745791,8.726533176562768,30.31736948211307
Dominican Republic,DOM,8472.47982000992,0.0840257068588403,0.0476608109620588,0.0130467274687078,0.0114821652864235,0.0666749190468669,0.0370057716293687,2.4512813694106934,10.196607574974134
Eastern Republic of Uruguay,URY,17888.211510172,0.1229294249256699,0.0524986362665266,0.0109149895126974,0.0087131392019746,0.0709835293836962,0.0400763510317997,7.92558264325097,39.68483834486567
Federal Democratic Republic of Ethiopia,ETH,910.947840320752,0.0672759381190772,0.0436507949404882,0.0081183784377973,0.0077010804575441,0.0647168512477922,0.0515473095515077,2.981963134648885,9.850379837404686
Federal Democratic Republic of Nepal,NPL,1252.75076731986,0.0589235985621114,0.042688526405137,0.0044021629994415,0.0050287000691851,0.082155171071365,0.055551679946698,11.672333569621356,24.141590738338152
Federal Republic of Germany,DEU,52265.6541620571,0.1234904126093609,0.0617175470517205,0.0130130820051041,0.007947820194299,0.0703770977095294,0.0467708026087892,3.853962200724108,13.77734445696926
Federal Republic of Nigeria,NGA,2017.27486481527,0.0447705262217417,0.0357636348937571,0.0063299127968073,0.0061647436268975,0.0503127431967487,0.0340669615550336,1.4731911827003483,8.20783901717975
Federal Republic of Somalia,SOM,549.114743546859,0.0664741884030154,0.0467706998224789,0.0076367837120032,0.0072331505709807,0.0789662821835853,0.0501709081386933,5.230075403073849,9.56522552172435
Federative Republic of Brazil,BRA,7972.53665048385,0.161349795478635,0.0812274969468078,0.0172543194121651,0.0152154714111429,0.0783419665807543,0.0384200301039982,4.103606869750073,15.596084194901392
Gabonese Republic,GAB,8181.40914134656,0.0643975290806135,0.0490116153891458,0.0069586655700477,0.0067722555424847,0.0921351513033717,0.07567860861682,2.539358572983885,16.408372853732377
Georgia,GEO,5083.60695484577,0.0463121831540577,0.0282716153098259,0.0069231715049289,0.0064334118076786,0.0562758863921696,0.0441538888211292,2.3336027372435586,15.806188178931029
Grand Duchy of Luxembourg,LUX,133711.794435985,0.0990769232534746,0.0570359623998989,0.0131016325857103,0.0099733495473477,0.0659233471401095,0.0412945279362496,3.427566975186965,9.121284660445797
Greenland,GRL,57116.295770722,0.1110177057941332,0.0644721669327376,0.0098936910561101,0.0087463090087136,0.157832939164376,0.0942156295961966,38.74742005786204,111.597957992974
Grenada,GRD,9622.24050459345,0.0870201117551353,0.0496018219830768,0.0131942768831854,0.0117344243403652,0.057722618746343,0.0376746856693836,1.841951677378752,6.901586553498177
Guam,GUM,38074.8793745801,0.0678233363077707,0.0420397498269099,0.0036119810471236,0.0035349803941494,0.0484561666240954,0.0475305021694615,5.63956433098326,46.77688321569645
Hashemite Kingdom of Jordan,JOR,4183.49998326866,0.0987347339810986,0.0557312896447854,0.0115432416370087,0.01017063567059,0.0794417456078321,0.0448357749028175,0.6676822130855342,2.2617691464170484
Hungary,HUN,18755.1023464312,0.0686256651896857,0.0380343456038983,0.0073709638554656,0.0066808342035845,0.0525433621857565,0.033639197816522,5.245832999259164,19.41014265675089
Independent State of Papua New Guinea,PNG,2607.57861884395,0.0616962578468809,0.0377379965095331,0.0035023068396175,0.0034137875576613,0.0444366827886909,0.0373323406295364,2.445768381468249,4.17636399014542
Independent State of Samoa,WSM,3947.64517905415,0.065052279519889,0.0397688249826106,0.0034532648504184,0.0034073595417744,0.0406801495849021,0.0340490411936986,11.04809748972776,29.45920779514044
Ireland,IRL,105561.137468992,0.1240768186413895,0.0702481275332887,0.010242362824561,0.0082284194617562,0.0918083981946301,0.0593144347600001,3.218546636845065,15.168548830973473
Islamic Republic of Afghanistan,AFG,356.496214115892,0.1046586299974245,0.0581905687619079,0.0111796658907244,0.0095578268543125,0.0908745771841265,0.0666412920636043,5.067815866923949,7.178890854397113
Islamic Republic of Iran,IRN,4334.79268631354,0.1332604280428081,0.0800130805244445,0.0121061288620395,0.0109178828179918,0.1015689089942341,0.0609897897254861,3.0943487855454483,9.25031347512161
Islamic Republic of Mauritania,MRT,1947.78918383313,0.0443822429299032,0.0355815526034005,0.0064158060782583,0.0062944414576865,0.0511268963873014,0.0381987967249049,1.9658776007715644,5.25380913487911
Islamic Republic of Pakistan,PAK,1455.31922370186,0.0561604088036016,0.041245717405218,0.0044472297625018,0.0050893144455255,0.0632277275199861,0.0425434134454518,4.990208337505418,13.526714508826569
Jamaica,JAM,5165.33780988607,0.0871158975171303,0.049723711295899,0.0133002847872373,0.0118531536537093,0.0589037228257476,0.0317522980145072,0.455860832045673,2.223581093358534
Japan,JPN,40058.5373276179,0.0501816545361685,0.0336379814485734,0.0080376894234687,0.0066115427689631,0.0444400008394479,0.0340354099686817,9.916876286529623,24.73487915555065
Kingdom of Bahrain,BHR,27147.8083882286,0.1020540093064538,0.0555178613105972,0.0116224900522395,0.0101187371092983,0.0901155524860243,0.0654415488715149,1.8071833489648537,7.331959114286593
Kingdom of Belgium,BEL,51655.7883303715,0.0890347299141943,0.0618635993499755,0.0130449241642879,0.0100358024040658,0.0745754322213324,0.0488804981723712,7.772169280169541,24.27430384569721
Kingdom of Bhutan,BTN,3570.61257915864,0.0484304011359944,0.0366380609426848,0.0044589530109568,0.0051937991172164,0.0563629342319223,0.0419122755714544,3.719873879655833,7.838705416559442
Kingdom of Cambodia,KHM,2167.40324198499,0.0748095731906734,0.042127273078855,0.0042407699589577,0.0041201116856953,0.047259444788058,0.0381283345659499,3.096119862828021,8.082041804960392
Kingdom of Denmark,DNK,69727.9873677012,0.097422859805942,0.0567272655100459,0.0132359193020657,0.0099642430246565,0.0733819077310552,0.0425859054547905,4.071366852197554,11.641580549609555
Kingdom of Eswatini,SWZ,3926.48687364215,0.0748881999620685,0.0566140698229717,0.0069084362821294,0.0068363632345979,0.0856840359176775,0.0651950743830249,8.111096796196886,46.67057589151971
Kingdom of Lesotho,LSO,1066.58645143823,0.0726291953929988,0.0548225626451742,0.0068754679177451,0.0067876330733875,0.1084056607661882,0.073334850784866,11.044781994974535,44.42900441636599
Kingdom of Morocco,MAR,3785.93627929688,0.0998973797910845,0.0567456477673866,0.0112489439616453,0.009981963978775,0.0951337753698788,0.0675463219781565,4.29340208753599,5.336677830217762
Kingdom of Norway,NOR,93072.8925119571,0.1190100359980839,0.0721008746142305,0.0107639061883158,0.0094050369226907,0.0769827830061122,0.0509417808348882,7.458955526530467,18.169485112201187
Kingdom of Saudi Arabia,SAU,28396.0864182336,0.0888610146618348,0.0491310833436296,0.0122622747322022,0.0099492194517776,0.0783966909893587,0.0547763690923566,4.781284422764058,13.30294447855644
Kingdom of Spain,ESP,30817.6828559001,0.1015843407298406,0.0445866396561575,0.0130501408631196,0.0098234196829036,0.1021236299964071,0.0510456798484352,2.9256602212192977,9.851145288990766
Kingdom of Sweden,SWE,61174.9680215622,0.0940682238270775,0.0555307317045855,0.013415560153618,0.0099520043480969,0.0987416163704782,0.0481828713876027,8.102904475532489,16.7035242648129
Kingdom of Thailand,THA,7058.0694998852,0.0606484117389898,0.0347473500426432,0.0044326006569623,0.0042391135573217,0.0461888814229314,0.0346381963457322,4.574178398945371,25.580139800392686
Kingdom of Tonga,TON,4912.57950603175,0.0650253844257353,0.0400931187827186,0.0035175190620875,0.0034128211683817,0.0405352117005744,0.0301122031727738,4.732026312330789,10.134825300182236
Kyrgyz Republic,KGZ,1349.99730650542,0.0401895576213474,0.0249081992762395,0.0067481553984434,0.0063622364286372,0.0575029965702324,0.0423513053496857,4.930969916083346,21.619084029791583
Lao People's Democratic Republic,LAO,2526.05105018529,0.0772493466898186,0.0497034191230963,0.0042987118714328,0.0042936342496518,0.0391588677777671,0.0380518383828011,4.100554934359505,10.471662458800612
Lebanese Republic,LBN,4045.37391066234,0.1384444272634259,0.0758029023700438,0.014426302814864,0.0129469055287736,0.1046359471483578,0.0679117812771948,0.9241059228613756,1.5095489931536883
Malaysia,MYS,10903.1116425938,0.0847918570553513,0.0482781977171133,0.0043384045468906,0.0042470077788772,0.0492653639929406,0.0412809917387806,2.072283908003468,8.477669270524554
Mongolia,MNG,4517.61578018785,0.0348999958184907,0.0214852091131784,0.0067390026759042,0.0063320090734622,0.0604546431830172,0.0479066865610766,4.846012736581654,37.43350190633354
Montenegro,MNE,9465.96153027794,0.077218187294348,0.0432408932539246,0.0072505794020939,0.0066146629717534,0.0579969114452457,0.0322214251734341,4.871456130358705,21.161029773778097
New Zealand,NZL,49624.1816729553,0.13781242745292,0.0777443358581538,0.0234930437417208,0.0193947666625339,0.0712007567669757,0.0459009598165355,7.502015409665572,21.61105684147224
North Macedonia,MKD,7620.80296977508,0.0796421252811659,0.0440361961339674,0.0073251376332728,0.0066755251916147,0.054657682570701,0.0302256799836979,2.9400530564113936,8.405607346762668
Northern Mariana Islands,MNP,19455.50139424,0.0690795798357104,0.0425006669571958,0.0036317564877131,0.0035436654687726,0.0439866949978757,0.0413731123123652,6.588670051089404,34.22257669008295
People's Democratic Republic of Algeria,DZA,4160.55926736925,0.0910149968948526,0.0513748777699776,0.0112382368434718,0.0099891249045148,0.0771114561856017,0.049671048463444,2.954385379638751,5.392921443971193
People's Republic of Bangladesh,BGD,2482.84917843357,0.0549115434681077,0.0417061405845076,0.0044344243554294,0.0050792357234903,0.0830115429237038,0.0483315832811805,3.187052160852131,6.924084309897027
People's Republic of China,CHN,12617.5051041181,0.0499904324086692,0.0300887456352552,0.002573068576355,0.0023714153170635,0.0410636004351089,0.0254056574139112,4.274235169414819,7.148371646934742
Plurinational State of Bolivia,BOL,3384.84486479247,0.1300609312339444,0.0753380496538644,0.013059941839685,0.0116436592202977,0.0707921666746521,0.0389818721780009,4.701765268240024,9.08197364040528
Portuguese Republic,PRT,24711.4510062111,0.1514006486488451,0.0849818806906171,0.0128801927941702,0.0106378191758276,0.1044428632064595,0.0523511756064616,3.5794952856255544,11.433771055242952
Principality of Andorra,AND,42425.6996756291,0.1032328819149187,0.0591654501508801,0.0131779321251913,0.0099686829690108,0.0788249965817698,0.0493460227340323,2.820363977128262,11.597664087998869
Principality of Monaco,MCO,223823.363960226,0.1050296124344471,0.0604395269140626,0.0130774201126823,0.0100269364850684,0.0889516929017053,0.0546747914107087,8.93055545014967,23.759837602600893
Puerto Rico,PRI,32619.250416757,0.084915261643787,0.0481974635776317,0.0134096986951935,0.0116179126067049,0.0472811119459927,0.0329831602367404,1.768666506674342,11.411216603784084
Republic of Albania,ALB,6413.28328605026,0.0752612859898408,0.0422885287933244,0.0071988973041697,0.0065548550392044,0.0511978298107966,0.0260898645085841,2.2890091962209023,4.868669798314439
Republic of Angola,AGO,1925.87466082167,0.0616346674989047,0.0467633005224037,0.0068651197761481,0.0066397781986698,0.0979410980334249,0.0702592620164826,3.2706630715844653,13.948339114540248
Republic of Armenia,ARM,4685.17997128509,0.0534033565451166,0.0325604527735252,0.007055272479152,0.0065276111708799,0.053083730896592,0.0388772435875185,1.3395035794183678,8.508658936201126
Republic of Austria,AUT,53648.7190742245,0.1121730546831802,0.0621850901229917,0.0131420863137877,0.0100031854372111,0.0643527934690835,0.0367676337571899,4.568992458820363,17.151144078217126
Republic of Azerbaijan,AZE,5408.04535175023,0.0459061401202285,0.0281602188879749,0.006886164515431,0.0064357277429098,0.0507693281272158,0.032319015645941,0.9861563558758998,4.727074913234669
Republic of Belarus,BLR,7489.71894713888,0.078936552814299,0.0495976243967077,0.0069701935083512,0.0065402516250617,0.0830153661611725,0.0556045732901463,6.354630758590509,36.63505032429765
Republic of Benin,BEN,1318.83497843483,0.0476478266504055,0.037395521255867,0.0063819380645266,0.0062185095402374,0.0631068838011056,0.0422028060211395,2.649963396434601,10.20452033937549
Republic of Botswana,BWA,7808.20623956293,0.068561039903842,0.0519209848970112,0.007011635045831,0.0069159224707703,0.0769561648395784,0.055436413659512,4.554716539574711,20.100372875592324
Republic of Bulgaria,BGR,12274.0775950496,0.0815396507693334,0.0449890486535095,0.0062447460240161,0.0057290480610403,0.0582673924008567,0.0322553821249254,4.997386255322122,15.825503505433394
Republic of Burundi,BDI,214.091455416133,0.0664869820962716,0.0470929225723134,0.0076537072989999,0.0074006468364857,0.0714119273826961,0.0491935510498614,3.9581152188131616,12.28529837749443
Republic of Cabo Verde,CPV,3971.4440744985,0.050268349680269,0.0409216746578148,0.0066576164332062,0.0065450641725313,0.0752014773106653,0.0644138528046066,3.144166363322371,24.33904669301173
Republic of Cameroon,CMR,1672.32657340872,0.0475679301299609,0.037832041902557,0.0063734535636202,0.0062257708509322,0.0656463875058828,0.0435489018573733,3.2579244494477164,14.127290902593291
Republic of Chad,TCD,660.747192555507,0.0471066105253255,0.0366748925813061,0.0062603468110174,0.0061089952392041,0.0705076656269695,0.0453640886269412,3.65653673831888,10.182938614018134
Republic of Chile,CHL,16216.5706467899,0.1311332747421993,0.0454532102728942,0.0110779439850594,0.0086561159513013,0.0883616582924986,0.0457991886888437,4.520301287817713,20.54328154967479
Republic of Colombia,COL,6222.62164397614,0.0895090625537712,0.0569308429332247,0.011680598363687,0.0100030863530113,0.032562882783146,0.0297114178320697,3.535593398324873,13.587520638220736
